Month,Scale1,Scale2,Scale3,Scale4,Scale5,Scale6
2024.01,91.5,87.1,86.0,85.8,86.3,90.4
2024.02,91.7,87.4,86.2,85.7,86.4,90.4
2024.03,91.8,87.9,86.5,85.9,86.5,90.5
2024.04,92.1,88.3,86.7,86.1,86.6,90.4
2024.05,92.5,88.8,87.1,86.3,86.9,90.4
2024.06,92.9,89.5,87.7,86.5,87.2,90.7
2024.07,93.3,90.5,88.5,87.4,87.8,91.1
2024.08,93.9,91.4,89.2,88.0,88.3,91.7
2024.09,94.5,91.9,89.7,88.6,88.8,92.0
2024.10,94.6,92.3,90.1,89.1,89.2,92.5
2024.11,94.7,92.5,90.3,89.3,89.5,92.9
2024.12,94.9,92.5,90.3,89.5,89.5,93.0
